import torch
# Fichier audio d'émotions pour le slot 53
# Données de test pour vérifier l'affichage
neu: 0.4942627251148224
sad: 0.2512706220149994
hap: 0.24552331864833832
hap: 0.7436307668685913
sad: 0.1234913170337677
neu: 0.09958407282829285
sad: 0.46351832151412964
hap: 0.41405194997787476
neu: 0.11204813420772552
hap: 0.45754650235176086
neu: 0.303659588098526
sad: 0.17993809282779694
hap: 0.4209240972995758
sad: 0.32923611998558044
neu: 0.23052045702934265
hap: 0.4796358644962311
sad: 0.3296094834804535
neu: 0.12940692901611328
sad: 0.913479745388031
neu: 0.07072007656097412
hap: 0.015621082857251167
sad: 0.42048951983451843
hap: 0.2780125141143799
neu: 0.17710360884666443
neu: 0.5150437355041504
sad: 0.45797187089920044
hap: 0.026607809588313103
neu: 0.6808406710624695
sad: 0.2893117368221283
hap: 0.029484443366527557
neu: 0.6756419539451599
sad: 0.28227782249450684
hap: 0.04199846833944321
sad: 0.9805279970169067
neu: 0.010803633369505405
hap: 0.008631608448922634
sad: 0.7053592801094055
neu: 0.19589687883853912
hap: 0.09779173880815506
sad: 0.9315380454063416
neu: 0.0630796030163765
hap: 0.00536242313683033
ang: 0.6816471815109253
hap: 0.14851121604442596
neu: 0.14759321510791779
hap: 0.7705210447311401
sad: 0.12361893802881241
neu: 0.07110390067100525
neu: 0.6954611539840698
sad: 0.26446273922920227
hap: 0.02119779773056507
sad: 0.7540966868400574
neu: 0.148075133562088
hap: 0.08994371443986893
sad: 0.7352258563041687
neu: 0.23731331527233124
hap: 0.014623774215579033
sad: 0.7256148457527161
neu: 0.21117745339870453
hap: 0.04169461876153946
ang: 0.8342005610466003
sad: 0.07003191113471985
hap: 0.052206046879291534
neu: 0.7185211777687073
sad: 0.20923088490962982
hap: 0.0697966143488884
neu: 0.4938451051712036
sad: 0.46695810556411743
hap: 0.0391089953482151
sad: 0.6810970902442932
neu: 0.2564365863800049
hap: 0.05809728056192398
sad: 0.6143189072608948
neu: 0.3660355806350708
hap: 0.01189847756177187
sad: 0.37400540709495544
hap: 0.28107938170433044
neu: 0.188896045088768
sad: 0.6951470375061035
neu: 0.284950852394104
hap: 0.01824137754738331
sad: 0.7427784204483032
neu: 0.14948518574237823
hap: 0.08624165505170822
neu: 0.6912533044815063
sad: 0.24410788714885712
hap: 0.06108241155743599
neu: 0.5103082060813904
sad: 0.42378726601600647
hap: 0.0612667016685009
sad: 0.8543949723243713
neu: 0.09002794325351715
hap: 0.05486805737018585
sad: 0.316864937543869
neu: 0.2720535695552826
ang: 0.21353653073310852
neu: 0.6075181365013123
sad: 0.3687231242656708
hap: 0.023734254762530327
neu: 0.9462164640426636
hap: 0.03267718479037285
sad: 0.02107790671288967
sad: 0.8853049874305725
hap: 0.05792435631155968
neu: 0.05656640604138374
sad: 0.665092408657074
hap: 0.18338137865066528
neu: 0.15083584189414978
neu: 0.8670260310173035
hap: 0.07282140105962753
sad: 0.059907279908657074
hap: 0.4410097897052765
sad: 0.2775869071483612
neu: 0.26109611988067627
sad: 0.581647515296936
neu: 0.32749009132385254
hap: 0.06720779836177826
neu: 0.5870524048805237
sad: 0.24857939779758453
hap: 0.1503162831068039
sad: 0.8734274506568909
neu: 0.10333774983882904
hap: 0.02013441175222397
sad: 0.6088384389877319
neu: 0.2455781251192093
hap: 0.14223475754261017
sad: 0.5611183047294617
neu: 0.24822665750980377
hap: 0.12080108374357224
sad: 0.5820476412773132
neu: 0.3939775824546814
hap: 0.019451573491096497
sad: 0.8212468028068542
neu: 0.16791845858097076
hap: 0.010578764602541924
sad: 0.8308258056640625
hap: 0.11205194890499115
neu: 0.056559719145298004
hap: 0.3561302423477173
sad: 0.3146478235721588
neu: 0.28273922204971313
neu: 0.5499769449234009
hap: 0.2743004262447357
sad: 0.17182140052318573
hap: 0.7660934925079346
sad: 0.1256517767906189
neu: 0.10046117752790451
hap: 0.6151362061500549
neu: 0.26666250824928284
sad: 0.07894366979598999
hap: 0.8453744053840637
neu: 0.09611127525568008
sad: 0.04868647828698158
hap: 0.8919520378112793
neu: 0.060310449451208115
sad: 0.03593067079782486
sad: 0.5112292766571045
neu: 0.3530016839504242
ang: 0.0739225372672081
sad: 0.7746795415878296
neu: 0.12095286697149277
hap: 0.1040034145116806
sad: 0.3759056627750397
hap: 0.34044310450553894
neu: 0.2823452353477478
sad: 0.6616623997688293
neu: 0.2415037453174591
hap: 0.09596586227416992
sad: 0.43566322326660156
hap: 0.43464627861976624
neu: 0.12955954670906067
hap: 0.4837445318698883
neu: 0.26331761479377747
sad: 0.2421664297580719
neu: 0.3474905788898468
hap: 0.3279585540294647
sad: 0.321185827255249
sad: 0.5636593699455261
neu: 0.3349507749080658
hap: 0.10082169622182846
sad: 0.48276618123054504
neu: 0.479650616645813
hap: 0.03751963749527931
sad: 0.5929561257362366
neu: 0.39409664273262024
hap: 0.012547153979539871
neu: 0.6932583451271057
sad: 0.2493930160999298
hap: 0.04588693380355835
neu: 0.7862809896469116
ang: 0.09326186031103134
hap: 0.06358451396226883
neu: 0.4980785548686981
sad: 0.40539124608039856
hap: 0.0804985761642456
neu: 0.46893560886383057
sad: 0.4003169536590576
hap: 0.07465630769729614
neu: 0.6422856450080872
sad: 0.22516106069087982
hap: 0.11988474428653717
neu: 0.6266520619392395
sad: 0.25460824370384216
hap: 0.09780589491128922
neu: 0.5853300094604492
sad: 0.30009889602661133
hap: 0.10950957983732224
sad: 0.5564000010490417
hap: 0.37529098987579346
neu: 0.0675036758184433
sad: 0.7575210928916931
hap: 0.1909244805574417
neu: 0.04892757162451744
sad: 0.6167806386947632
neu: 0.20028528571128845
ang: 0.11578252166509628
neu: 0.4205838143825531
hap: 0.3770434558391571
sad: 0.2015271931886673
sad: 0.45389196276664734
hap: 0.33628442883491516
neu: 0.1978723108768463
sad: 0.8708948493003845
hap: 0.0704110711812973
neu: 0.05727732181549072
sad: 0.5263413786888123
neu: 0.2866588234901428
hap: 0.15174321830272675
neu: 0.501397967338562
sad: 0.4759690761566162
hap: 0.020072802901268005
neu: 0.4936496317386627
sad: 0.3949739933013916
hap: 0.10869371145963669
neu: 0.499527245759964
sad: 0.47936174273490906
hap: 0.018936680629849434
sad: 0.5529259443283081
neu: 0.28745388984680176
hap: 0.15752500295639038
sad: 0.810716986656189
neu: 0.17277665436267853
hap: 0.014715854078531265
hap: 0.42001187801361084
sad: 0.3623424768447876
neu: 0.20749494433403015
sad: 0.584723174571991
neu: 0.3252553641796112
hap: 0.06680765748023987
sad: 0.8471251130104065
neu: 0.07848657667636871
hap: 0.07403229922056198
hap: 0.8488524556159973
sad: 0.0905684381723404
neu: 0.05986442044377327
sad: 0.8436523079872131
neu: 0.1041160449385643
hap: 0.05192779004573822
sad: 0.8489410281181335
neu: 0.12958094477653503
hap: 0.021439814940094948
neu: 0.4986945688724518
sad: 0.4485987424850464
hap: 0.05269927158951759
neu: 0.6124335527420044
sad: 0.32814890146255493
hap: 0.047993067651987076
sad: 0.6635914444923401
neu: 0.31306299567222595
hap: 0.022375693544745445
sad: 0.8420741558074951
neu: 0.1361485719680786
hap: 0.020403537899255753
sad: 0.48412248492240906
neu: 0.38269472122192383
hap: 0.10762283951044083
neu: 0.6646380424499512
sad: 0.2212548404932022
hap: 0.07674983143806458
sad: 0.39060622453689575
neu: 0.3854040205478668
hap: 0.1842832714319229
sad: 0.7446308732032776
neu: 0.19528546929359436
hap: 0.0556299053132534
neu: 0.5800266265869141
hap: 0.23576216399669647
sad: 0.16529828310012817
sad: 0.755471408367157
neu: 0.12139612436294556
hap: 0.11717353761196136
sad: 0.35310885310173035
neu: 0.31867551803588867
hap: 0.3095429241657257
sad: 0.7997227907180786
hap: 0.12293063849210739
neu: 0.07424776256084442
sad: 0.689876914024353
neu: 0.1628423035144806
hap: 0.12814803421497345
hap: 0.3844393491744995
neu: 0.3292223811149597
sad: 0.276610404253006
hap: 0.6674127578735352
sad: 0.220719113945961
neu: 0.10610128939151764
sad: 0.45521020889282227
neu: 0.3768131732940674
hap: 0.1617365926504135
neu: 0.5692514777183533
hap: 0.25932571291923523
sad: 0.11241023242473602
sad: 0.9156424403190613
neu: 0.0482892282307148
hap: 0.03568413481116295
sad: 0.5266292095184326
neu: 0.3842787444591522
hap: 0.08802957087755203
sad: 0.4928606152534485
neu: 0.4275133013725281
hap: 0.07914583384990692
sad: 0.7729699015617371
neu: 0.17585541307926178
hap: 0.04211234301328659
sad: 0.4964970052242279
neu: 0.2903019189834595
hap: 0.201732337474823
sad: 0.8156458735466003
neu: 0.16529667377471924
hap: 0.015853630378842354
sad: 0.6755215525627136
neu: 0.2557380497455597
hap: 0.06747134774923325
sad: 0.8091738820075989
neu: 0.13783849775791168
hap: 0.05291108414530754
neu: 0.5385154485702515
sad: 0.35747087001800537
hap: 0.09313428401947021
sad: 0.5110799670219421
neu: 0.45989304780960083
hap: 0.028092125430703163
hap: 0.4697962701320648
sad: 0.3294159471988678
neu: 0.19469943642616272
sad: 0.8345553278923035
neu: 0.12256215512752533
hap: 0.04273509606719017
sad: 0.7727793455123901
hap: 0.14086118340492249
neu: 0.08524734526872635
ang: 0.6096881031990051
hap: 0.17064422369003296
sad: 0.13264158368110657
sad: 0.692550539970398
neu: 0.24589727818965912
hap: 0.05852452293038368
sad: 0.7987982034683228
neu: 0.13758589327335358
hap: 0.05819276347756386
sad: 0.6096499562263489
neu: 0.356698602437973
hap: 0.033218782395124435
sad: 0.784625768661499
neu: 0.1874314546585083
hap: 0.027044378221035004
sad: 0.5863660573959351
neu: 0.3878956139087677
hap: 0.02219897136092186
sad: 0.9720045328140259
hap: 0.020885391160845757
neu: 0.006672294344753027
sad: 0.6434198617935181
hap: 0.2458573877811432
neu: 0.09400921314954758
sad: 0.9700145125389099
neu: 0.0209286380559206
hap: 0.008468544110655785
sad: 0.5942099690437317
neu: 0.32553595304489136
hap: 0.05438949167728424
sad: 0.6197964549064636
neu: 0.31013816595077515
hap: 0.06832220405340195
sad: 0.5108044743537903
neu: 0.29008907079696655
hap: 0.18661046028137207
hap: 0.8501752614974976
ang: 0.1163390725851059
sad: 0.02847619168460369
neu: 0.5262327790260315
sad: 0.4494589567184448
hap: 0.02426265925168991
sad: 0.7787570357322693
neu: 0.1847132444381714
hap: 0.03593234345316887
ang: 0.37022972106933594
neu: 0.247746080160141
sad: 0.22254110872745514
sad: 0.751380980014801
neu: 0.22952088713645935
hap: 0.019090615212917328
sad: 0.9844262599945068
neu: 0.00977764930576086
hap: 0.005752798169851303
sad: 0.8391278386116028
neu: 0.10698932409286499
hap: 0.053390223532915115
neu: 0.7098225355148315
sad: 0.22353127598762512
hap: 0.06644788384437561
sad: 0.4987718164920807
neu: 0.2765723168849945
hap: 0.15887168049812317
ang: 0.47850826382637024
hap: 0.3544996976852417
sad: 0.14279362559318542
sad: 0.8114694356918335
neu: 0.15365643799304962
hap: 0.03209512308239937
hap: 0.4787231385707855
sad: 0.37359845638275146
ang: 0.07836911827325821
hap: 0.7618423700332642
sad: 0.16648750007152557
neu: 0.05504278838634491
neu: 0.47965484857559204
hap: 0.28313496708869934
sad: 0.20496611297130585
hap: 0.58754962682724
sad: 0.35827499628067017
ang: 0.04599582776427269
sad: 0.5110509395599365
neu: 0.30000075697898865
hap: 0.1724078208208084
sad: 0.8124397993087769
neu: 0.10665524005889893
hap: 0.0806301087141037
sad: 0.7896885275840759
neu: 0.19560104608535767
hap: 0.014673023484647274
sad: 0.6955023407936096
neu: 0.17975325882434845
hap: 0.11589693278074265
sad: 0.7476009726524353
neu: 0.21632732450962067
hap: 0.03526925668120384
sad: 0.8510243892669678
hap: 0.10152719169855118
neu: 0.04720305651426315
sad: 0.5025728940963745
neu: 0.47291305661201477
hap: 0.023555465042591095
sad: 0.8463470935821533
neu: 0.14600102603435516
hap: 0.007560563739389181
sad: 0.5404451489448547
neu: 0.4293622374534607
ang: 0.01860996149480343
sad: 0.791759192943573
neu: 0.20499737560749054
hap: 0.002667801221832633
neu: 0.5124692916870117
